,City,Country,Link,Day Sent,Position,Notes,Status,Reply Date
FRISS,Utrecht,Netherlands,here,09-10-2021,ML Engineer,-,Denied,13-10-2021
Unilever,Rotterdam,Netherlands,here,10-10-2021,Data Scientist,-,Not Responded,
Philip Morris Interntional,Amsterdam,Netherlands,here,10-10-2021,Data Scientist,-,Denied,
Nike,Amsterdam,Netherlands,here,10-10-2021,Data Analyst,-,Denied,19-10-2021
Vinted,Amsterdam,Netherlands,here,10-10-2021,Data Analyst,-,Denied,12-11-2021
Booking.com,Amsterdam,Netherlands,here,11-10-2021,Data Scientist,-,Denied,26-10-2021
Markplaats,Amsterdam,Netherlands,here,,Data Scientist,-,Denied,
Pegasystems,Amsterdam,Netherlands,here,14-10-2021,ML Engineer,-,Not Responded,
Sana Commerce,Rotterdam,Netherlands,here,15-10-2021,Data Analyst,-,Denied,25-10-2021
Uber,Amsterdam,Netherlands,here,15-10-2021,Data Scientist,-,Denied,25-10-2021
NewMotion,Amsterdam,Netherlands,here,16-10-2021,Data Analyst,-,Denied,15-11-2021
SWIFT,Leiden,Netherlands,here,17-10-2021,Data Scientist,-,Not Responded,
Shypple,Rotterdam,Netherlands,here,,Data Analyst,-,Not Responded,
Harnham,Amsterdam,Netherlands,here,,Data Scientist,-,Not Responded,
Harnham,Amsterdam,Netherlands,here,,Data Scientist,-,Not Responded,
Creative Clicks,Amsterdam,Netherlands,here,22-10-2021,Data Analyst,"""Not hiring from abroad""",Denied,26-10-2021
KPMG,Amstelveen,Netherlands,here,24-10-2021,Data Scientist,-,Denied,08-11-2021
Darwin Recruitment,Amsterdam,Netherlands,here,,Data Scientist,-,Not Responded,11-11-2021
Next Round,Amsterdam,Netherlands,here,28-10-2021,Data Analyst,-,Not Responded,
Booking.com,Amsterdam,Netherlands,here,28-10-2021,ML Engineer,-,Denied,22-11-2021
C3 AI,Amsterdam,Netherlands,here,28-10-2021,Data Scientist,-,Denied,04-11-2021
Huxley,Amsterdam,Netherlands,here,28-10-2021,Data Scientist,-,Not Responded,01-11-2021
Philips,Amsterdam,Netherlands,here,28-10-2021,Data Scientist,-,Denied,
Applied Medical,Amersfoort,Netherlands,here,28-10-2021,Data Analyst,-,Denied,03-11-2021
Dentsu international,Amsterdam,Netherlands,here,,Data Scientist,-,Denied,01-11-2021
Optiver,Amsterdam,Netherlands,here,30-10-2021,Data Scientist,-,Denied,
Dataiku,Amsterdam,Netherlands,here,31-10-2021,Data Scientist,-,Denied,05-11-2021
TNO,Utrecht,Netherlands,here,03-11-2021,Data Scientist,-,Denied,15-11-2021
Omron,North Brabant,Netherlands,here,03-11-2021,Data Scientist,-,Denied,23-11-2021
Huawei,Amsterdam,Netherlands,here,02-12-2021,ML Engineer,-,Not Responded,
Vopak,Rotterdam,Netherlands,here,02-12-2021,Data Scientist,-,Denied,15-12-2021
accenture,Utrecht,Netherlands,here,06-12-2021,Data Engineer,-,Not Responded,
Elastic,Amsterdam,Netherlands,here,07-12-2021,ML Engineer,-,Denied,09-12-2021
FrieslandCampina,Utrecht,Netherlands,here,17-12-2021,Data Scientist,-,Not Responded,
COMPUTD,Geleen,Netherlands,here,20-12-2021,Data Scientist,-,I Denied,21-12-2021
Santander,Utrecht,Netherlands,here,20-12-2021,Data Scientist,-,Not Responded,
Creative Clicks,Amsterdam,Netherlands,here,20-12-2021,Data Analyst,-,Denied,21-12-2021
Chaseman Global,Amsterdam,Netherlands,here,21-12-2021,Data Scientist,-,Not Responded,
Capstone Advisory,The Randstad,Netherlands,here,27-12-2021,Data Scientist,-,Not Responded,
Picnic,Amsterdam,Netherlands,here,01-01-2022,Data Analyst,-,Denied,06-01-2022
Connecterra,Amsterdam,Netherlands,here,01-01-2022,Data Scientist,Forwarded to a different position,Denied,24-01-2022
Young Financials,Amsterdam,Netherlands,here,01-01-2022,Data Analyst,-,Denied,03-01-2022
Annovating B.V,Rijswijk,Netherlands,here,02-01-2022,Data Scientist,-,Denied,05-01-2022
FindHotel,Amsterdam,Netherlands,here,02-01-2022,Data Scientist,-,Denied,04-01-2022
GoDataDriven,Amsterdam,Netherlands,here,03-01-2022,ML Engineer,-,Not Responded,
Feel Robotics,Amsterdam,Netherlands,here,05-01-2022,Data Analyst,-,Not Responded,
Qmulus,The Hague,Netherlands,here,05-01-2022,ML Engineer,-,Denied,08-01-2022
GoodHabitz,Eindhoven,Netherlands,here,05-01-2022,Data Scientist,-,Denied,17-01-2022
Adyen,Amsterdam,Netherlands,here,05-01-2022,Data Scientist,-,Denied,09-01-2022
Mploy Associates,Utrecht,Netherlands,here,09-01-2022,Data Scientist,-,Denied,10-01-2022
World of Content,Den Bosch,Netherlands,here,09-01-2022,Data Scientist,-,Denied,14-01-2022
Oxford Global Resources,Leiden,Netherlands,here,09-01-2022,Data Scientist,-,Denied,10-01-2022
Ab Ovo,Rotterdam,Netherlands,here,10-01-2022,Data Scientist,-,Denied,22-01-2022
Illuviun,Amsterdam,Netherlands,here,11-01-2022,Data Analyst,-,Denied,17-01-2022
Walters People,Amsterdam,Netherlands,here,13-01-2022,Data Analyst,-,Not Responded,
Young Analytics,Amsterdam,Netherlands,here,13-01-2022,Data Scientist,-,Denied,14-01-2022
DPG Media,Amsterdam,Netherlands,here,15-01-2022,Data Analyst,-,Denied,17-01-2022
Hopper,Hopper,Netherlands,here,20-01-2022,Data Scientist,-,Not Responded,
Optiver,Amsterdam,Netherlands,here,21-01-2022,Data Scientist,-,Denied,31-01-2022
"o9 Solutions, Inc",North Holland,Netherlands,here,21-01-2022,Data Scientist,-,Denied,24-01-2022
Cognizant,Amsterdam,Netherlands,here,21-01-2022,Data Scientist,-,Not Responded,
Travix International,Amsterdam,Netherlands,here,21-01-2022,Data Analyst,-,Denied,14-02-2022
Albert Heijn,Amsterdam,Netherlands,here,21-01-2022,Data Analyst,-,Denied,24-01-2022
Modis,Hilversum,Netherlands,here,29-01-2022,Data Scientist,-,Not Responded,
ACMetric,Amsterdam,Netherlands,here,03-02-2022,Data Scientist,-,Not Responded,
Ebiquity Digital ,Utrecht,Netherlands,here,03-02-2022,Data Analyst,-,Not Responded,
Hays,Amsterdam,Netherlands,here,06-02-2022,Data Scientist,-,Not Responded,
Vattenfall,Amsterdam,Netherlands,here,07-02-2022,Data Scientist,-,Not Responded,
QuandaGo,South Holland,Netherlands,here,07-02-2022,Data Scientist,-,Not Responded,
Deepdesk,Utrecht,Netherlands,here,08-02-2022,ML Engineer,-,Not Responded,
D2X Group,Amsterdam,Netherlands,here,09-02-2022,Data Analyst,-,Not Responded,
Enjins,Utrecht,Netherlands,here,10-02-2022,ML Engineer,-,Denied,11-02-2022
Meta,Remote,Netherlands,here,10-02-2022,Data Scientist,-,Not Responded,
EnAppSys,Terneuzen,Netherlands,here,11-02-2022,Data Scientist,-,Not Responded,
IG&H,Utrecht,Netherlands,here,11-02-2022,Data Scientist,-,Not Responded,
Source Technology,Utrecht,Netherlands,here,14-02-2022,ML Engineer,-,Not Responded,
Engagement Factory,Eindhoven,Netherlands,here,14-02-2022,Data Scientist,-,Not Responded,
FLYR,Amsterdam,Netherlands,here,15-02-2022,Data Scientist,-,Not Responded,
ErasmusTalent,Rotterdam,Netherlands,here,15-02-2022,Data Analyst,-,Not Responded,
,,,,,,,,
commercetools,Berlin,Germany,here,12-10-2021,Data Engineer,-,Denied,
AUTO1 Group,Berlin,Germany,here,12-10-2021,Business Analyst,-,Denied,20-10-2021
Zoom,Berlin,Germany,here,13-10-2021,ML Engineer,-,Denied,17-10-2021
Lyft,Munich,Germany,here,13-10-2021,ML Engineer,-,Denied,19-10-2021
Delicious Data GmbH,Garching,Germany,here,13-10-2021,ML Engineer,-,Denied,15-10-2021
Zalando,Berlin,Germany,here,13-10-2021,Data Analyst,-,Denied,21-10-2021
LOTTO24,Hamburg,Germany,here,15-10-2021,Data Scientist,-,2 Interviews + Denied,19-10-2021
Klarna,Berlin,Germany,here,16-10-2021,Data Scientist,-,Not Responded,30-10-2021
Rateplay GmbH,Berlin,Germany,here,,Data Analyst,-,Denied,
Zizoo,Berlin,Germany,here,19-10-2021,Data Analyst,-,Not Responded,
SoSafe Cyber Security Awareness,Remote,Germany,here,,Data Scientist,-,Denied,
ShowHeroes Group,Berlin,Germany,here,,Data Scientist,-,Not Responded,
Trust in SODA,Berlin,Germany,here,,Data Scientist,-,Not Responded,
CARIAD,Berlin,Germany,here,23-10-2021,Data Scientist,-,Denied,24-01-2022
arive,Berlin,Germany,here,23-10-2021,Data Scientist,-,Not Responded,
Trade Republic Bank GmbH,Berlin,Germany,here,23-10-2021,Data Scientist,-,Denied,
SoSafe Cyber Security Awareness,Cologne,Germany,here,,Data Scientist,-,Not Responded,
Vinted,Berlin,Germany,here,26-10-2021,Data Scientist,-,Denied,12-11-2021
InnoGames Gmbh,Hamburg,Germany,here,28-10-2021,Data Scientist,-,Denied,01-11-2021
Venture Team (Chemovator GmbH),Mannheim,Germany,here,29-10-2021,Data Scientist,-,Denied,02-11-2021
Forto,Berlin,Germany,here,05-11-2021,Data Scientist,-,Denied,19-11-2021
paretos,Heidelberg,Germany,here,05-11-2021,Data Scientist,-,Denied,17-11-2021
Lunchclub,Berlin,Germany,here,15-11-2021,ML Engineer,-,Denied,17-01-2022
ams OSRAM,Regensburg,Germany,here,17-11-2021,Data Scientist,-,Denied,20-11-2021
InVision Group,Dusseldorf,Germany,here,23-11-2021,Data Scientist,-,Not Responded,
Holidu,Munich,Germany,here,30-11-2021,Data Scientist,-,Denied,07-12-2021
Sky Deutschland,Munich,Germany,here,09-12-2021,Data Scientist,-,Denied,14-12-2021
EPAM Systems,Frankfurt,Germany,here,12-12-2021,Data Scientist,-,Not Responded,
MYTOYS Group,Berlin,Germany,here,12-12-2021,Data Scientist,-,Not Responded,
Prestatech,Berlin,Germany,here,12-12-2021,Data Scientist,-,Not Responded,
Mister Spex,Berlin,Germany,here,17-12-2021,Data Scientist,-,Denied,18-01-2022
datazeit,Cologne,Germany,here,17-12-2021,Data Scientist,-,Not Responded,
SmartRecruiters,Berlin,Germany,here,20-12-2021,ML Engineer,-,Denied,21-12-2021
Ferratum,Berlin,Germany,here,20-12-2021,Data Scientist,-,Not Responded,
Phiture,Berlin,Germany,here,20-12-2021,Data Analyst,-,Denied,05-01-2022
Westwing,Munich,Germany,here,20-12-2021,Data Analyst,-,Denied,23-12-2021
Lidl,Neckarsulm,Germany,here,21-12-2021,Data Scientist,-,Denied,27-12-2021
SoundCloud,Berlin,Germany,here,21-12-2021,ML Engineer,-,Denied,23-12-2021
HelloFresh,Berlin,Germany,here,22-12-2021,Data Scientist,-,Denied,04-01-2022
Kineo,Berlin,Germany,here,22-12-2021,ML Engineer,-,Denied,04-01-2022
Phiture,Berlin,Germany,here,02-01-2022,Data Analyst,-,Denied,05-01-2022
Travel Audience,Berlin,Germany,here,02-01-2022,Data Analyst,-,Denied,05-01-2022
GoodGame Studios,Hamburg,Germany,here,02-01-2022,Data Analyst,-,Denied,25-01-2022
Glooko,Berlin,Germany,here,03-01-2022,ML Engineer,-,Denied,13-01-2022
Sovanta,Heidelberg,Germany,here,03-01-2022,Data Scientist,-,Denied,14-01-2022
Gestalt Robotics,Berlin,Germany,here,05-01-2022,ML Engineer,-,Not Responded,
The Economist,Berlin,Germany,here,05-01-2022,Data Analyst,-,Not Responded,
Flaconi,Berlin,Germany,here,05-01-2022,Data Scientist,-,Denied,10-01-2022
PubliCare,Berlin,Germany,here,06-01-2022,Data Scientist,-,Not Responded,
DAYIANA,Cologne,Germany,here,06-01-2022,Data Scientist,-,Not Responded,
Sport Technology Systems,Hannover,Germany,here,06-01-2022,Data Scientist,-,Not Responded,
Haensel AMS,Berlin,Germany,here,09-01-2022,Data Scientist,-,Denied,10-01-2022
Crealytics,Berlin,Germany,here,09-01-2022,Data Engineer,-,Denied,20-01-2022
KWS Group,Einbeck,Germany,here,11-01-2022,Data Scientist,-,Denied,27-01-2022
Solsten,Berlin,Germany,here,11-01-2022,Data Scientist,-,Denied,13-01-2022
Pinguin AG,Berlin,Germany,here,11-01-2022,Data Engineer,-,Not Responded,
Statista,Hamburg,Germany,here,11-01-2022,Data Engineer,-,Denied,20-01-2022
InVision AG,Dusseldorf,Germany,here,11-01-2022,Data Scientist,-,Denied,14-01-2022
Munich RE,Munchen,Germany,here,11-01-2022,Data Scientist,-,Denied,21-01-2022
Körber Digital,Karlsruhe,Germany,here,13-01-2022,Data Scientist,-,Denied,18-01-2022
We Are Era,Berlin,Germany,here,13-01-2022,Data Scientist,-,Not Responded,
inpro,Berlin,Germany,here,13-01-2022,Data Scientist,-,Denied,22-01-2022
mindamins UG,Remote,Germany,here,13-01-2022,ML Engineer,-,Not Responded,
Good Hood GmbH,Berlin,Germany,here,13-01-2022,Business Analyst,-,Not Responded,
Marc O'Polo,Berlin,Germany,here,13-01-2022,Data Engineer,-,Denied,20-01-2022
Sparrow Networks,Remote,Germany,here,13-01-2022,Data Engineer,-,Denied,18-01-2022
DHL,Bonn,Germany,here,13-01-2022,Data Engineer,-,Not Responded,
NAECO Blue,Hamburg,Germany,here,15-01-2022,Data Scientist,-,Denied,25-01-2022
Statista,Hamburg,Germany,here,15-01-2022,Data Scientist,-,Denied,26-01-2022
not less but better,Berlin,Germany,here,16-01-2022,ML Engineer,-,Denied,04-02-2022
Flink,Berlin,Germany,here,17-01-2022,Data Analyst,-,I Denied,01-02-2022
NAECO Blue,Hamburg,Germany,here,17-01-2022,Data Scientist,-,Denied,25-01-2022
ESFORIN SE,Essen,Germany,here,17-01-2022,Data Scientist,-,Denied,19-01-2022
YUKKA Lab AG,Berlin,Germany,here,17-01-2022,Data Scientist,-,Denied,20-01-2022
prognostica GmbH,Würzburg,Germany,here,18-01-2022,Data Scientist,-,Not Responded,
BestSecret,Munich,Germany,here,19-01-2022,Data Scientist,-,Denied,01-02-2022
N26,Berlin,Germany,here,19-01-2022,Data Scientist,-,Not Responded,
Atheneum Partners,Berlin,Germany,here,20-01-2022,Data Analyst,-,Not Responded,
diconium,Berlin,Germany,here,21-01-2022,Data Analyst,-,Denied,09-02-2022
Aignostics,Berlin,Germany,here,21-01-2022,ML Engineer,-,Denied,07-02-2022
Latana,Berlin,Germany,here,21-01-2022,Researcher,-,1 Interview + Denied,24-01-2022
Blinkist,Berlin,Germany,here,22-01-2022,Data Analyst,-,Denied,02-02-2022
Sport Alliance GmbH,Remote,Germany,here,29-01-2022,Data Engineer,-,Denied,31-01-2022
Smart Steel Technologies GmbH,Remote,Germany,here,29-01-2022,ML Engineer,-,Denied,02-02-2022
Quandoo,Berlin,Germany,here,03-02-2022,Data Analyst,-,Denied,08-02-2022
Gnosis,Berlin,Germany,here,03-02-2022,Data Scientist,-,Denied,04-02-2022
Workaround,München,Germany,here,03-02-2022,Data Scientist,-,Not Responded,
ADITION technologies,Remote,Germany,here,03-02-2022,Data Engineer,-,Not Responded,
reBuy reCommerce,Berlin,Germany,here,06-02-2022,Data Scientist,-,Denied,15-02-2022
presize.ai,München,Germany,here,06-02-2022,Data Engineer,-,Not Responded,
audEERING,Gilching,Germany,here,06-02-2022,Data Scientist,-,Not Responded,
IFCN,Kiel,Germany,here,06-02-2022,Data Analyst,-,Not Responded,
Phoenix Games,Karlsruhe,Germany,here,08-02-2022,Data Scientist,-,Denied,14-02-2022
JustWatch,Berlin,Germany,here,09-02-2022,Data Scientist,-,Not Responded,
mobile.de,Berlin,Germany,here,09-02-2022,Data Scientist,-,Not Responded,
Cherry Ventures,Berlin,Germany,here,09-02-2022,Data Analyst,-,Denied,11-02-2022
Bonial Germany,Berlin,Germany,here,09-02-2022,Data Analyst,-,Not Responded,
AutoScout24,Munich,Germany,here,11-02-2022,Data Scientist,-,Denied,12-02-2022
Novelis,Göttingen,Germany,here,11-02-2022,Data Scientist,-,Not Responded,
Analyx,Berlin,Germany,here,11-02-2022,Data Scientist,-,Not Responded,
Axel Springer,Berlin,Germany,here,11-02-2022,Data Scientist,-,Not Responded,
Gfk,Nuremberg,Germany,here,15-02-2022,Data Scientist,-,Denied,16-02-2022
,,,,,,,,
Volvo Cars,Gothenburg,Sweden,here,28-10-2021,ML Engineer,-,Denied,08-11-2021
Harnham,Stockholm,Sweden,here,28-10-2021,Data Scientist,-,Not Responded,
Harnham,Stockholm,Sweden,here,28-10-2021,Data Engineer,-,Not Responded,
Storytrl,Stockholm,Sweden,here,28-10-2021,ML Engineer,-,Denied,29-10-2021
Evolution,Stockholm,Sweden,here,30-10-2021,Data Scientist,-,Denied,03-11-2021
Klarna,Stockholm,Sweden,here,30-10-2021,Data Scientist,-,Denied,23-11-2021
DocuSign,Gothenburg,Sweden,here,30-10-2021,Data Scientist,-,Denied,08-11-2021
NudgeLabs,Stockholm,Sweden,here,30-10-2021,Data Scientist,-,Denied,01-11-2021
TV4 (Telia Company),Stockholm,Sweden,here,30-10-2021,Data Scientist,-,Not Responded,
Einride,Gothenburg,Sweden,here,30-10-2021,Data Scientist,-,Denied,02-11-2021
Mathem,Stockholm,Sweden,here,02-11-2021,Data Scientist,-,Denied,05-11-2021
Readly,Stockholm,Sweden,here,02-11-2021,Data Scientist,-,Not Responded,
Epidemic Sound,Stockholm,Sweden,here,03-11-2021,Data Scientist,-,Denied,08-11-2021
Coop Sverige,Stockholm,Sweden,here,12-11-2021,Data Scientist,-,Not Responded,
Lendo AB,Stockholm,Sweden,here,12-11-2021,Data Scientist,-,Denied,24-01-2022
MAJORITY,Stockholm,Sweden,here,12-11-2021,Data Analyst,-,Denied,18-11-2021
Tink,Stockholm,Sweden,here,12-11-2021,Data Scientist,-,Denied,15-11-2021
Anyfin,Stockholm,Sweden,here,15-11-2021,Data Scientist,-,Denied,22-11-2021
If Insurance,Stockholm,Sweden,here,17-11-2021,Data Scientist,-,Denied,24-11-2021
Nectarine Health,Stockholm,Sweden,here,18-11-2021,ML Engineer,-,Not Responded,
Utopia Music,Stockholm,Sweden,here,30-11-2021,Data Engineer,-,Denied,06-12-2021
Sartorius,Umea,Sweden,here,07-12-2021,ML Engineer,-,Denied,08-12-2021
Accrease,Stockholm,Sweden,here,07-12-2021,Data Scientist,-,Denied,11-12-2021
Sharkmob,Malmo,Sweden,here,09-12-2021,Data Scientist,-,Denied,18-01-2022
Hybrit,Lulea,Sweden,here,22-12-2021,Data Scientist,-,Not Responded,
Dustin,Nacka,Sweden,here,27-12-2021,Data Scientist,-,Denied,28-12-2021
Vinter,Remote,Sweden,here,28-12-2021,Data Analyst,-,Not Responded,
Qliro,Stockholm,Sweden,here,09-01-2022,Data Scientist,-,Denied,19-01-2022
Abios,Stockholm,Sweden,here,09-01-2022,Data Scientist,-,Denied,14-01-2022
Academic Work,Gothenburg,Sweden,here,09-01-2022,Data Scientist,-,Denied,27-01-2022
AstraZeneca,Gothenburg,Sweden,here,11-01-2022,Data Scientist,-,Not Responded,
Centiro,Borås,Sweden,here,19-01-2022,Data Scientist,-,Not Responded,
Qred AB,Stockholm,Sweden,here,29-01-2022,Data Scientist,-,Denied,03-02-2022
Toptracer,Stockholm,Sweden,here,03-02-2022,Data Scientist,-,Not Responded,
SAVR,Stockholm,Sweden,here,03-02-2022,Data Scientist,-,Not Responded,
UC AC,Stockholm,Sweden,here,14-02-2022,Data Scientist,-,Not Responded,
,,,,,,,,
Nielsen,Copenhagen,Denmark,link,09-12-2021,Data Scientist,-,Not Responded,-
Elastic,Copenhagen,Denmark,link,09-12-2021,ML Engineer,-,Denied,23-12-2021
LiveIntent,Copenhagen,Denmark,link,09-12-2021,Data Scientist,-,Not Responded,-
TEC Partners,Copenhagen,Denmark,link,09-12-2021,Data Scientist,-,Not Responded,-
Nigel Frank International,Copenhagen,Denmark,link,09-12-2021,Data Scientist,-,Not Responded,-
AUTOproff,Copenhagen,Denmark,link,20-12-2021,Data Scientist,-,Denied,05-01-2022
København,Copenhagen,Denmark,link,03-01-2022,Data Scientist,-,Not Responded,-
LiveIntent,Copenhagen,Denmark,link,05-01-2022,Data Scientist,-,Not Responded,-
FRG Technology Consulting,Copenhagen,Denmark,link,05-01-2022,Data Scientist,-,Not Responded,-
Venquis Limited,Copenhagen,Denmark,link,09-01-2022,Data Scientist,-,Not Responded,-
Tactile Games,Copenhagen,Denmark,link,09-01-2022,Data Scientist,-,Denied,10-01-2022
Laerdal Copenhagen,Copenhagen,Denmark,link,13-01-2022,Data Scientist,-,Not Responded,-
IT Kartellet,Copenhagen,Denmark,link,20-01-2022,Data Scientist,-,Denied,30-01-2022
Novo Nordisk,Bagsværd,Denmark,link,21-01-2022,Data Scientist,-,Not Responded,-
Dept Agency ,Copenhagen,Denmark,link,24-01-2022,Data Scientist,-,Denied,15-02-2022
VELUX,Østbirk,Denmark,link,08-02-2022,Data Analyst,-,Not Responded,-
Danske Bank,Copenhagen,Denmark,link,15-02-2022,Data Scientist,-,Not Responded,-
,,,,,,,,
CVs sent: 234,,,,,,,,